,Account Name Cleaned,Company Name Cleaned,Similarity,T/F
371,university of colorado at boulder,university of colorado boulder,0.986,False
372,i squared,di squared,0.961,False
373,iadvantage software,advantage software,0.974,False
374,minndak farmers cooperative,minn  dak farmers cooperative,0.98,False
375,university of illinois at urbanachampaign,university of illinois at urbana  champaign,0.985,False
376,minicircuits,mini  circuits,0.976,False
377,icanvas,canvas,0.954,False
378,icbc,cbc,0.963,False
379,university of lincoln,lincoln university,0.966,False
380,hysteryale materials handling,hyster  yale materials handling,0.972,False
381,walker and associates,walker  associates,0.956,False
382,opensky,open sky,0.959,False
383,ops security,opsec security,0.953,False
384,core technology solutions,technology solutions,0.951,False
385,eg workforce solutions,workforce solutions,0.966,False
386,pulsesecure,pulse secure,0.978,False
387,pulsen,pulse 8,0.954,False
388,eightfoldai,eightfold ai,0.96,False
389,puffersweiven,puffer  sweiven,0.975,False
390,publicissapient,publicis sapient,0.963,False
391,cooper surgical,coopersurgical,0.961,False
392,elderlife financial services,elder life financial services,0.958,False
393,cooke school and institute,cooke school  institute,0.96,False
394,electralink,electra link,0.968,False
395,cook county health and hospitals system,cook county health  hospitals system,0.976,False
396,electromechanical,electro  mechanical,0.969,False
397,self employed,na self employed,0.971,False
398,electronic engineering co,electronic engineering,0.984,False
399,provision,provisions,0.953,False
400,convergence,it convergence,0.967,False
401,element technologies,elemental technologies,0.958,False
402,elevate health,relevate health,0.973,False
403,seattle school of theology psychology,the seattle school of theology  psychology,0.984,False
404,edwardelmhurst health,edward  elmhurst health,0.982,False
405,purepower technologies,pure power technologies,0.962,False
406,educational solutions,educational solutions co,0.986,False
407,echo life church,lifechurch,0.961,False
408,county of san diego ca,county of san diego,0.97,False
409,echo technology solutions,technology solutions,0.951,False
410,queen university,queens university,0.972,False
411,county of monroe mi,county of monroe,0.958,False
412,school district of chathams,school district of the chathams,0.964,False
413,quantumclean,quantumclear,0.965,False
414,quantuma,quantum,0.954,False
415,school district of weyauwegafremont,weyauwega  fremont school district,0.957,False
416,prospect schools,prospectschools,0.952,False
417,schumacher,f schumacher  co,0.975,False
418,edataworld,dataworld,0.957,False
419,schwan food company,the schwan food company,0.952,False
420,science museum,museum of science,0.961,False
421,scientific research,scientific search,0.957,False
422,corsaire,corsair,0.954,False
423,qpsi,qps,0.955,False
424,qep,qep co,0.968,False
425,cornerstone it,cornerstone,0.964,False
426,sds,sdsd,0.96,False
427,quallynx,qual  lynx,0.968,False
428,promotional design,promotional designs,0.975,False
429,service  support,support services,0.979,False
430,connectwise it,connectwise,0.969,False
431,communications resources,communications resource,0.985,False
432,communications engineering company cec,communications engineering company,0.973,False
433,communication resources,communications resource,0.961,False
434,enterworks,interworks,0.953,False
435,preemploycom,pre  employcom,0.952,False
436,envent,nvent,0.958,False
437,environment systems,environmental systems,0.966,False
438,environmental solutions,ves environmental solutions,0.966,False
439,columbus zoo and aquarium,columbus zoo  aquarium,0.977,False
440,enterprise,t f r enterprises,0.963,False
441,envision it,envision,0.954,False
442,power factors,power factor,0.957,False
443,colt technology services,lt technology services,0.97,False
444,pottsville school district,pottsville area school district,0.955,False
445,coloplast as,coloplast,0.959,False
446,episcopal school of dallas,the episcopal school of dallas,0.96,False
447,portland public schools or,portland public schools,0.986,False
448,eqis,eqi,0.959,False
449,college of william and mary,college of william  mary,0.962,False
450,porter pipe and supply,porter pipe  supply,0.961,False
451,enway,nway,0.958,False
452,ec international,r l e international,0.959,False
453,sibanyestillwater,sibanye  stillwater,0.985,False
454,community health centers,community health center,0.97,False
455,servitek,servi  tek,0.954,False
456,ses engineering,es engineering,0.961,False
457,sevan multisite solutions,sevan multi  site solutions,0.98,False
458,sg technologies,asg technologies,0.967,False
459,sgroup,isgroup,0.958,False
460,conexus credit union,connexus credit union,0.955,False
461,shaker,shake,0.968,False
462,condenast publications,conde nast publications,0.983,False
463,shawmut design and construction,shawmut design  construction,0.976,False
464,ensignbickford aerospace  defense company,ensign  bickford aerospace  defense company,0.968,False
465,emtech,emtec,0.951,False
466,comtec,comtech,0.953,False
467,encore consulting,oncore consulting,0.959,False
468,prime technology,primera technology,0.961,False
469,comprehensive payment recovery services,comprehensive payment recovery service,0.992,False
470,engineering,en engineering,0.976,False
471,engineering systems esi,engineering systems,0.956,False
472,englewood hospital and medical center,englewood hospital  medical center,0.974,False
473,community national bank and trust,community national bank  trust,0.97,False
474,prescient,prescient co,0.96,False
475,comtech industries,comtec industries,0.978,False
476,easycar,easycare,0.965,False
477,eastern ct savings bank,eastern savings bank,0.97,False
478,easter seals,easterseals,0.951,False
479,roof roofing,t q m roofing,0.951,False
480,direct line teleresponse,direct line tele response,0.988,False
481,republicanamerican,republican  american,0.976,False
482,david evans and associates,david evans  associates,0.966,False
483,republic,erepublic,0.979,False
484,dauphin county it,dauphin county,0.974,False
485,rosehulman institute of technology,rose  hulman institute of technology,0.954,False
486,repc,repco,0.951,False
487,rosnet,arosnet,0.963,False
488,davisstandard,davis  standard,0.959,False
489,datatrac,datatrace,0.951,False
490,royal college of physicians and surgeons of canada,royal college of physicians  surgeons of canada,0.985,False
491,royal industries,deroyal industries,0.957,False
492,data solutions,dat solutions,0.954,False
493,rp international,erp international,0.985,False
494,dash technologies,dasher technologies,0.957,False
495,rubin and rudman,rubin  rudman,0.962,False
496,ruby tuesday,ruby tuesdays,0.959,False
497,rudolph and sletten,rudolph  sletten,0.963,False
498,dallas academy,academy of dallas,0.958,False
499,renotahoe airport authority,reno  tahoe airport authority,0.974,False
500,regulatory compliance associates rca,regulatory compliance associates,0.965,False
501,dawsons,dawson,0.955,False
502,resources,resource 1,0.967,False
503,ripple it,ripple,0.954,False
504,depository trust and clearing,depository trust  clearing,0.966,False
505,rit capital partners,merit capital partners,0.965,False
506,denhamblythe company,denham  blythe company,0.955,False
507,design communications,communications test design,0.958,False
508,richardson industries,richards industries,0.96,False
509,desoto county,de soto county,0.966,False
510,deltasonic carwash systems,delta  sonic carwash systems,0.981,False
511,rfi communications and security systems,rfi communications  security systems,0.976,False
512,romco equipment co,romco equipment,0.986,False
513,robbins manufacturing,robbie manufacturing,0.953,False
514,diagnostechs,diagnos  techs,0.979,False
515,robinson bradshaw  hinson pa,robinson bradshaw  hinson p a,0.982,False
516,deep south equipment co,deep south equipment,0.987,False
517,robots and pencils,robots  pencils,0.951,False
518,reve systems,revel systems,0.96,False
519,diamond product,diamond products,0.953,False
520,retirement advisors of america,american retirement advisors,0.966,False
521,de novo,denovo,0.956,False
522,rodda paint,rodda paint co,0.974,False
523,revolution marketing,marketing evolution,0.983,False
524,porter and chester institute,porter  chester institute,0.964,False
525,dakota boys and girls ranch,dakota boys  girls ranch,0.971,False
526,refco,efco,0.96,False
527,rdc,erdc,0.961,False
528,cryeleike,crye  leike,0.968,False
529,salt lake county ut,salt lake county,0.958,False
530,cruises,cruise,0.959,False
531,salud family health center,salud family health centers,0.978,False
532,crozerkeystone health system,crozer  keystone health system,0.978,False
533,duraline,dura  line,0.954,False
534,cross country mortgage,crosscountry mortgage,0.979,False
535,crohns and colitis foundation of america,crohns  colitis foundation of america,0.976,False
536,rdo equipment,rdo equipment co,0.984,False
537,ramsoft,softrams,0.953,False
538,sanderson,sanderson  co,0.959,False
539,e tech solutions,itech solutions,0.962,False
540,ea engineering science and technology,ea engineering science  technology,0.974,False
541,raise,aisera,0.951,False
542,crescolabs,cresco labs,0.971,False
543,rady childrens hospitalsan diego,rady childrens hospital  san diego,0.974,False
544,crawford healthcare us,crawford healthcare,0.976,False
545,sauder woodworking,sauder woodworking co,0.988,False
546,cramerkrasselt,cramer  krasselt,0.957,False
547,dyncorp international,dyn corp international,0.972,False
